vendor_id,display_name,legal_entity_name,has_vendor_record,has_legal_entity_name,has_homepage,has_privacy_notice_source,has_dpa_source,has_subprocessor_source,has_security_source,has_compliance_source,has_source_health,has_jurisdiction_or_region,has_vendor_category,source_count,missing_required_fields,missing_expected_sources,completeness_bucket,requires_human_review
tencent-cloud-international,Tencent Cloud International,Tencent Cloud International Pte. Ltd.,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
thoropass,Thoropass,"Thoropass, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
trend-micro,Trend Micro,Trend Micro Incorporated,True,True,True,True,False,False,True,False,True,True,True,4,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
trulioo,Trulioo,Trulioo Information Services Inc.,True,True,True,False,False,False,True,False,True,True,True,1,,privacy_notice;dpa;subprocessors_list;compliance,source_coverage_incomplete,True
trustarc,TrustArc,TrustArc Inc.,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
twilio,Twilio,Twilio Inc.,True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
typeform,Typeform,Typeform S.L.,True,True,True,True,True,True,True,False,True,True,True,4,,compliance,partial,True
ukg,UKG,UKG Inc.,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
upcloud,UpCloud,UpCloud Ltd,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
vanta,Vanta,Vanta Inc.,True,True,True,True,False,True,True,True,True,True,True,4,,dpa,partial,True
vercel,Vercel,Vercel Inc.,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
vertafore,Vertafore,Vertafore,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
vtex,VTEX,,True,False,True,True,False,False,True,False,True,True,True,2,legal_entity_name,dpa;subprocessors_list;compliance,entity_review_needed,True
weaviate,Weaviate,Weaviate B.V.,True,True,True,True,False,True,True,True,True,True,True,4,,dpa,partial,True
webflow,Webflow,"Webflow, Inc.",True,True,True,True,False,True,True,True,True,True,True,4,,dpa,partial,True
wise,Wise,Wise Payments Limited,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
withsecure,WithSecure,WithSecure Corporation,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
wix,Wix,Wix.com Ltd.,True,True,True,True,True,True,True,False,True,True,True,4,,compliance,partial,True
wiz,Wiz,"Wiz, Inc.",True,True,True,True,False,True,True,False,True,True,True,4,,dpa;compliance,partial,True
workday,Workday,"Workday, Inc.",True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
worldpay,Worldpay,"Worldpay, LLC",True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
wrike,Wrike,,True,False,True,True,False,False,False,False,True,True,True,3,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
xendit,Xendit,Xendit Inc.,True,True,True,True,False,False,False,True,True,True,True,4,,dpa;subprocessors_list;security,source_coverage_incomplete,True
xero,Xero,Xero Limited,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
zapier,Zapier,"Zapier, Inc.",True,True,True,True,False,True,True,True,True,True,True,4,,dpa,partial,True
zendesk,Zendesk,"Zendesk, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
zoho,Zoho,Zoho Corporation Private Limited,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
zoom,Zoom,"Zoom Communications, Inc.",True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
zscaler,Zscaler,"Zscaler, Inc.",True,True,True,True,True,True,False,False,True,True,True,4,,security;compliance,partial,True
